date,ticker,ret
2017-09-14,C-WS-A,-0.3032456848611813
2017-10-27,JCP,-0.33508703927401395
2017-10-27,CPPRQ,-0.33508703927401395
2017-10-30,ICON_old,-0.7291354261895577
2017-12-06,GNC,-0.3121127692502773
2018-02-05,HMHC,-0.31108837217527796
2018-02-05,ZVO,-0.32616247727168923
2018-02-09,ACTA,-0.9494771818188925
2018-03-01,FRAN,-0.3274908602468233
2018-03-01,MNKKQ,-0.30835273290788867
2018-03-05,C-WS-A,-0.32294746459091883
2018-03-08,FTD,-0.3708205184333875
2018-04-19,C-WS-A,-0.4081692386969634
2018-05-31,CONN,-0.31911765827852134
2018-07-02,FTRCQ,-0.33357226160949094
2018-07-02,FTR,-0.33357226160949094
2018-07-30,SNCR,-0.3495968144692012
2018-08-16,JCP,-0.44856286076292284
2018-08-16,CPPRQ,-0.44856286076292284
2018-09-25,BKEP,-0.31143807446647886
2018-10-10,FRAN,-0.3116807002734018
2018-10-24,PRTYQ,-0.30187446032246557
2018-10-24,PRTY,-0.30187446032246557
2018-10-24,IPHS,-0.31302863944838455
2018-10-26,FTRCQ,-0.31278887589566773
2018-10-26,FTR,-0.31278887589566773
2018-10-29,SPNX,-0.3004774002152798
2018-10-29,SPN,-0.30047739124865713
2018-11-05,AVDL,-0.302961267461446
2018-11-20,NHIQ,-0.30106178320805976
2018-11-28,CHS,-0.47302226526366054
2018-12-10,BIG,-0.3179457150936149
2018-12-11,CONN,-0.3129801492227562
2018-12-12,USAK,-0.31529611568073856
2018-12-20,GNC,-0.3323863871118502
2018-12-20,JCP,-0.3253011883801964
2018-12-20,PBPB,-0.3105691535985504
2018-12-20,CPPRQ,-0.3253011883801964
2018-12-21,VSTO,-0.3159816334853963
2018-12-21,VRTSP,-0.30323059944596087
2018-12-24,ATU,-0.31276185128546974
2019-01-25,MHLD,-0.306094803006133
2019-01-31,UEPS,-0.404814924836045
2019-03-08,OMI,-0.31240951756268276
2019-03-22,KIRK,-0.30732066262114566
2019-03-22,VSTO,-0.30252584332458354
2019-04-11,CHS,-0.31038570005296284
2019-04-23,EXPR,-0.3080773044592241
2019-04-29,PRTYQ,-0.3031718656632528
2019-04-29,PRTY,-0.3031718656632528
2019-05-02,CVIA,-0.3186364537511286
2019-05-02,SPNX,-0.30778786272355785
2019-05-02,SPN,-0.307787893098325
2019-05-14,NHIQ,-0.320349242947483
2019-05-15,HOUS,-0.3036137954847029
2019-05-16,KIRK,-0.37837841320943344
2019-05-17,ZVO,-0.30415427055090405
2019-05-20,GNC,-0.32738145739411806
2019-05-21,MNKKQ,-0.3818139731562401
2019-05-21,GCAP,-0.32484854114726236
2019-05-31,OMI,-0.3522564333048682
2019-05-31,GHL,-0.30674932798957455
2019-06-11,FTRCQ,-0.3116907095485235
2019-06-11,FTR,-0.3116907095485235
2019-06-12,DNR,-0.33333335657101104
2019-06-26,SSUP,-0.31525044220695775
2019-06-26,SUP,-0.31525044220695775
2019-07-02,MIK,-0.3371278352812396
2019-07-12,FRANQ,-0.3179273678898461
2019-07-17,SPNX,-0.33760583968509994
2019-07-17,MOBQD,-0.3114956107318174
2019-07-17,SPN,-0.33760587289393595
2019-07-25,GPOR_old,-0.3157872037927465
2019-07-25,GPORQ,-0.3157872037927465
2019-07-29,HOUS,-0.32037227310606264
2019-08-01,JCP,-0.3092117677551487
2019-08-01,CPPRQ,-0.3092117677551487
2019-08-02,FTRCQ,-0.30857140677315853
2019-08-02,FTR,-0.30857140677315853
2019-08-06,AVDL,-0.3075410124085396
2019-08-06,MNKKQ,-0.3790850087388977
2019-08-08,PRTYQ,-0.36562071708502997
2019-08-08,PRTY,-0.36562071708502997
2019-08-09,VSTO,-0.3387320904539608
2019-08-12,NIHD,-0.30387715539514126
2019-08-14,EXPR,-0.3003662668407361
2019-08-22,ZVO,-0.3020874191322471
2019-10-29,SLCA,-0.4895413363041029
2019-10-31,CVIA,-0.31100868519561664
2019-11-05,AFI,-0.42097024648004255
2019-11-07,PRTYQ,-0.6497373053172437
2019-11-07,PRTY,-0.6497373053172437
2019-11-13,MOBQD,-0.3031226813933263
2019-11-19,BIG,-0.3191140281606121
2019-12-05,MIK,-0.3858794250830785
2019-12-11,CONN,-0.30625995162316344
2020-01-15,SIC,-0.3014803106683296
2020-01-21,GPOR_old,-0.3800738288193336
2020-01-21,GPORQ,-0.3800738288193336
2020-01-27,MIK,-0.3243386235095358
2020-01-31,ARCH,-0.31249443497558427
2020-02-03,CONN,-0.3047690405227814
2020-02-10,TUP,-0.3508251607554822
2020-02-10,TUPBQ,-0.3507558143260564
2020-02-25,DNR,-0.33049131121509523
2020-02-26,CVIA,-0.3088235328491722
2020-02-28,BIG,-0.45247167826009804
2020-03-02,AKRX,-0.3062693564186624
2020-03-02,AKRXQ,-0.3062693564186624
2020-03-05,JCP,-0.30933364605455416
2020-03-05,CPPRQ,-0.30933364605455416
2020-03-05,SLCA,-0.36264048517380554
2020-03-06,PRTYQ,-0.3162392809702944
2020-03-06,PRTY,-0.3162392809702944
2020-03-09,CASSQ,-0.3628313898868468
2020-03-09,CASA,-0.3628313898868468
2020-03-11,FFNW,-0.3037339044732994
2020-03-11,GHL,-0.3460563010208182
2020-03-11,EXPR,-0.33139537849446765
2020-03-12,GNC,-0.34702312074462516
2020-03-16,HOUS,-0.42552260712712364
2020-03-17,MNKKQ,-0.31880078987937344
2020-04-15,JCP,-0.375988710889938
2020-04-15,CPPRQ,-0.375988710889938
2020-04-21,SLCA,-0.3055555371590598
2020-04-24,SCTY_old,-0.3163329554530666
2020-07-16,TMUSR,-0.3392856968630128
2020-07-30,VALPQ,-0.35949958629341183
2020-08-19,GPOR_old,-0.32389786300760026
2020-08-19,GPORQ,-0.31881764015474245
2020-08-31,JCPNQ,-0.3562270582149728
2020-08-31,CPPRQ,-0.3637776531021846
2020-09-10,MNKKQ,-0.34343437384177344
2020-10-21,SLCA,-0.3071448565343109
2020-11-11,EXTN,-0.30882312448083926
2021-01-29,SCTY_old,-0.3004191388235825
2021-04-19,EXTN,-0.3144796563147695
2021-04-20,ADNWW,-0.35217389546630473
2021-05-13,ADN,-0.32935029696329976
2021-08-16,ADN,-0.3088892485520103
2021-08-19,AFI,-0.3047034379960045
2021-09-30,NHIQ,-0.30603447850620835
2021-10-01,BMTX,-0.33456903631385626
2021-10-18,ARCH_old,-0.31207410097545185
2021-10-25,ESPR,-0.353526984352856
2021-12-01,EXTN,-0.3284445151319614
2021-12-01,IIN,-0.3182507742784748
2021-12-22,CAMP_old,-0.32350717737144163
2021-12-22,CAMPQ,-0.42610848991981776
2022-01-10,ADN,-0.33448277031324836
2022-01-19,SNCR,-0.3080397419848355
2022-01-19,CASSQ,-0.3082595999870874
2022-01-19,CASA,-0.3082595999870874
2022-02-07,ESPR,-0.3204105212776537
2022-02-09,AVYA,-0.30304455479759485
2022-02-09,AVYAQ,-0.30304455479759485
2022-02-11,EMKR,-0.3047919414584219
2022-02-25,SMLP,-0.43186304457928426
2022-04-08,PHUNW,-0.3183355097134861
2022-04-28,CAMP_old,-0.3229525262968508
