date,ticker,ret,gross_ret,type
2012-03-08,OMI,-0.0010066704719766673,-0.0010066704719766673,target
2012-03-08,SFYWQ,-0.02644242319348511,-0.018726826699772103,target
2012-03-09,OA,-0.016243922429192592,-0.016243922429192592,target
2012-03-09,ACO,-0.0070151091313160885,-0.0070151091313160885,target
2012-03-12,EPIQ,0.00921703914742622,0.015272454243883571,target
2012-03-12,LANC,0.02107648340190238,0.02107648340190238,target
2012-03-14,FFG,0.007514155136790324,0.007955228894770627,target
2012-03-16,PCXCQ,0.12168650850792084,0.12168650850792084,target
2012-03-19,BRKL_old,0.04271855416437709,0.05229929932011412,target
2012-03-20,PKY1,0.04577035408042973,0.048106375776165944,target
2012-03-23,HITT,0.030169980203927915,0.030169980203927915,target
2012-03-27,EPHC,0.025133481543932357,0.031713065659064954,target
2012-03-27,KDN,-0.2613093340035939,-0.2613093340035939,stop
2012-03-28,JBT,0.08080192809319042,0.08261157576348266,target
2012-03-29,MINI,-0.008295442649276064,-0.006015782713720164,target
2012-03-30,QSFT,0.19946585375828563,0.20320580528278365,target
2012-04-02,ZEP,0.04129043093419149,0.05205808132475309,target
2012-04-03,HAYN,0.03292290600078762,0.04368003668805143,target
2012-04-03,UMPQ,0.08822352505513975,0.0976494375840844,target
2012-04-03,BBOX,-0.02658854927581611,-0.00862073733373292,target
2012-04-04,LBAI,-0.03443868833221664,-0.03443868833221664,target
2012-04-05,GIFI,-0.06595384435038643,-0.05497244943203061,target
2012-04-05,ELRC,-0.07097516143400484,-0.07097516143400484,stop
2012-04-10,RAVN,-0.06552578903095607,-0.06552578903095607,stop
2012-04-10,EF,-0.10431494726116186,-0.09795322534319728,stop
2012-04-10,STEL_old,-0.06438852217642865,-0.060780210973116366,stop
2012-04-10,GFIG,-0.0849315542735386,-0.0849315542735386,stop
2012-04-10,HTSI,-0.02684481777431469,-0.020494024326060956,target
2012-04-11,MSCC,-0.022190019036683162,-0.022190019036683162,target
