date,ticker,side,ret,type
2018-03-29,SWAY,long,-0.3728216727981536,rebalance_exit
2018-03-29,NR,long,-0.009191131623716542,rebalance_exit
2018-03-29,QCP,long,0.044890016556308865,rebalance_exit
2018-03-29,LBY,long,-0.3676971698914794,rebalance_exit
2018-03-29,ERN,long,0.2815409773545121,rebalance_exit
2018-03-29,SYNL,long,0.172392424509753,rebalance_exit
2018-03-29,USAK,long,0.8142348345252908,rebalance_exit
2018-03-29,PTQEQ,long,-0.33915007414023357,rebalance_exit
2018-03-29,AFSI,long,0.2247522876899104,rebalance_exit
2018-03-29,IMPHO,long,-0.06545456972989161,rebalance_exit
2018-03-29,AVDL,long,-0.11984565206163789,rebalance_exit
2018-03-29,LPNT,long,-0.07059122628618708,rebalance_exit
2018-06-29,AYR,long,0.28071319938988526,rebalance_exit
2018-06-29,RPXC,long,-0.26754227714895906,rebalance_exit
2018-06-29,UNTCQ,long,0.6344082476302244,rebalance_exit
2018-06-29,UNT,long,0.6344082476302244,rebalance_exit
2018-06-29,CRZO,long,-0.053523900477791986,rebalance_exit
2018-06-29,GNRT,long,0.1575922868027253,rebalance_exit
2018-06-29,AVP,long,-0.634366124517006,rebalance_exit
2018-06-29,QHC,long,0.19825900969526034,rebalance_exit
2018-06-29,EVRI,long,-0.05766577964342723,rebalance_exit
2018-06-29,AOBC,long,-0.06965679349738751,rebalance_exit
2018-06-29,GPOR_old,long,0.30259069344281175,rebalance_exit
2018-06-29,TERP,long,0.10262536669878064,rebalance_exit
2018-06-29,SNZYP,long,-0.062212562964949925,rebalance_exit
2018-06-29,TTS,long,0.28457248823160985,rebalance_exit
2018-06-29,KEYW,long,0.09115557242030525,rebalance_exit
2018-06-29,LFGR,long,0.529736630723203,rebalance_exit
2018-06-29,LEAF,long,0.529736630723203,rebalance_exit
2018-06-29,CMO,long,0.04943818237084541,rebalance_exit
2018-06-29,IPHS,long,0.19039471648771955,rebalance_exit
2018-06-29,XRM,long,1.0142394628507456,rebalance_exit
2018-06-29,WIN,long,-0.25248229243279074,rebalance_exit
2018-06-29,WINMQ,long,-0.25248229243279074,rebalance_exit
2018-06-29,MGP,long,0.15597521034783624,rebalance_exit
2018-06-29,GPORQ,long,0.30259069344281175,rebalance_exit
2018-09-28,SPA,long,-0.3834209263499627,rebalance_exit
2018-09-28,RFP,long,1.562135056763036,rebalance_exit
2018-09-28,VOXX,long,-0.08718084303473173,rebalance_exit
2018-09-28,USM,long,0.1590373469941142,rebalance_exit
2018-09-28,RZA,long,-0.03289022357756388,rebalance_exit
2018-09-28,UPLC,long,-0.7314148718760306,rebalance_exit
2018-09-28,UPL,long,-0.5198307122222255,rebalance_exit
2018-09-28,AIW,long,0.03479163257373297,rebalance_exit
2018-09-28,ACETQ,long,-0.3397891064915841,rebalance_exit
2018-09-28,NSM,long,0.03956268738651825,rebalance_exit
2018-09-28,NPTN,long,0.3308541514020278,rebalance_exit
2018-09-28,MHLD,long,-0.6324306553861376,rebalance_exit
2018-09-28,RNET,long,0.9422527066540398,rebalance_exit
2018-09-28,LPNT,long,0.3118973209266016,rebalance_exit
2018-12-31,CXDC,long,-0.45651338806555797,rebalance_exit
2018-12-31,SPNX,long,-0.6850267977763135,rebalance_exit
2018-12-31,HZN,long,-0.830009643827625,rebalance_exit
2018-12-31,ANH,long,-0.08274613085474469,rebalance_exit
2018-12-31,BKS,long,0.16239230112884284,rebalance_exit
2018-12-31,PHLT,long,0.017594894732958943,rebalance_exit
2018-12-31,PFMT,long,0.017590398656128325,rebalance_exit
2018-12-31,MCF,long,-0.44018564422377615,rebalance_exit
2018-12-31,AVDL,long,-0.5952804263650927,rebalance_exit
2018-12-31,EGC,long,0.02166953260601079,rebalance_exit
2018-12-31,CTB,long,0.22149102381786623,rebalance_exit
2018-12-31,CSS,long,-0.36794168783708703,rebalance_exit
2018-12-31,KEYW,long,-0.24312591183510368,rebalance_exit
2018-12-31,QHC,long,-0.5068259319013084,rebalance_exit
2018-12-31,ATIS,long,-0.39674982642834955,rebalance_exit
2018-12-31,XRM,long,0.0008931257534126047,rebalance_exit
2019-03-29,PDLI,long,-0.389133510682506,rebalance_exit
2019-03-29,EGL,long,0.1886988248244923,rebalance_exit
2019-03-29,HMHC,long,0.027519399876867467,rebalance_exit
2019-03-29,GCAP,long,-0.03814510603684773,rebalance_exit
2019-03-29,AAWW,long,-0.16360627402525652,rebalance_exit
2019-03-29,OMI,long,-0.7285243452002289,rebalance_exit
2019-03-29,SXCP,long,-0.23342116465617957,rebalance_exit
2019-03-29,AGFS,long,-0.548753887560265,rebalance_exit
2019-03-29,ELVT,long,-0.3931210342559436,rebalance_exit
2019-03-29,LINDW,long,0.7748082503390039,rebalance_exit
2019-03-29,TEUM,long,0.7947390931140856,rebalance_exit
2019-03-29,DBDQQ,long,1.3703241706174043,rebalance_exit
