date,ticker
2010-01-04,CHBT
2010-01-04,CHBT
2010-01-04,CHG
2010-01-04,CHKE
2010-01-04,CHKE
2010-01-04,CHKE
2010-01-04,CHKE
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHKGQ
2010-01-04,CHMD
2010-01-04,CHMD
2010-01-04,CHMD
2010-01-04,CHMD
2010-01-04,CHMD
2010-01-04,CHMD
2010-01-04,CHMT_old
2010-01-04,CHOP
2010-01-04,CHP
2010-01-04,CHP
2010-01-04,CHRS1
2010-01-04,CHRS1
2010-01-04,CHSI
2010-01-04,CHSI
2010-01-04,CHSI
2010-01-04,CHSI
2010-01-04,CHSI
2010-01-04,CHTP
2010-01-04,CHTP
2010-01-04,CHTP
2010-01-04,CHS
2010-01-04,CHYR
2010-01-04,CHYR
2010-01-04,CHYR
2010-01-04,CHYR
2010-01-04,CIMT
2010-01-04,CIR
2010-01-04,CIR
2010-01-04,CIR
2010-01-04,CIR
2010-01-04,CIT
2010-01-04,CIT
2010-01-04,CIT
2010-01-04,CKEC
2010-01-04,CKEC
2010-01-04,CKEC
2010-01-04,CKEC
2010-01-04,CKEC
2010-01-04,CKEC
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,C-WS-A
2010-01-04,CKH
2010-01-04,CKH
2010-01-04,CKH
2010-01-04,CKH
2010-01-04,CKH
2010-01-04,CKH
2010-01-04,CLCT
2010-01-04,CLCT
2010-01-04,CLCT
2010-01-04,CLCT
2010-01-04,CLCT
2010-01-04,CLGX
2010-01-04,CLGX
2010-01-04,CLGX
2010-01-04,CLI
2010-01-04,CLUB_old
2010-01-04,CLUBQ
2010-01-04,CNEP
2010-01-04,CNBC
2010-01-04,CNBC
