date,net_beta_dollar
2013-04-26,906209.8311575092
2013-04-29,913759.4803483533
2013-04-30,772113.2698417371
2013-05-01,803594.0693801902
2013-05-02,796040.2997972546
2013-05-03,919804.484530597
2013-05-06,1065453.3889079727
2013-05-07,971314.5254119467
2013-05-08,1163938.1865838887
2013-05-09,1266456.3872417351
2013-05-10,1259742.1676350608
2013-05-13,880460.7527408563
2013-05-14,722196.984160956
2013-05-15,712134.1345706154
2013-05-16,623519.4453870542
2013-05-17,699488.6063770205
2013-05-20,947510.6324702669
2013-05-21,917082.8307824321
2013-05-22,921340.3545220532
2013-05-23,982066.1738810167
2013-05-24,1049618.5553334188
2013-05-28,1021589.7501510605
2013-05-29,1013656.1070277151
2013-05-30,1054903.0761265196
2013-05-31,971090.8344492055
2013-06-03,1320081.4344032202
2013-06-04,1435934.838324653
2013-06-05,1379857.8049448766
2013-06-06,1219983.3732345384
2013-06-07,1149482.8463698477
2013-06-10,1252227.5436044391
2013-06-11,1149665.9258973598
2013-06-12,1252239.0176183302
2013-06-13,1187672.8439271133
2013-06-14,1056609.6019365396
2013-06-17,1031049.8192064501
2013-06-18,854054.928980656
2013-06-19,703358.7322494164
2013-06-20,740269.6560177132
2013-06-21,506740.8033599742
2013-06-24,418411.4698825758
2013-06-25,559991.9992672354
2013-06-26,587518.4834100883
2013-06-27,525836.2975230701
2013-06-28,991700.5922935903
2013-07-01,996744.3006817736
2013-07-02,953767.1070450544
2013-07-03,989584.5250604022
2013-07-05,1169112.556505965
2013-07-08,1426191.2619339619
2013-07-09,1444601.3062695106
2013-07-10,1459551.3406169228
2013-07-11,1372749.8117863517
2013-07-12,1289570.4023440946
2013-07-15,1441659.664557524
2013-07-16,1625728.11420995
2013-07-17,1634955.135678051
2013-07-18,1770964.980779577
2013-07-19,1742758.150692517
2013-07-22,1761989.6172282659
2013-07-23,1703333.6943665706
2013-07-24,2145506.086558818
2013-07-25,2207938.265744704
2013-07-26,2093758.1033757152
2013-07-29,2061237.9234870132
2013-07-30,1973114.1863415912
2013-07-31,1916789.7518877927
2013-08-01,2046749.7742046956
2013-08-02,2152933.0743810115
2013-08-05,2295516.374363712
2013-08-06,2334731.985719326
2013-08-07,2520952.2974441787
2013-08-08,2707216.8507336006
2013-08-09,2735111.633472613
2013-08-12,2739342.5889034476
2013-08-13,2724456.660665799
2013-08-14,2672746.8266432835
2013-08-15,2763393.839921171
2013-08-16,2612633.4928533332
2013-08-19,2511163.3081129147
2013-08-20,2706456.820566261
2013-08-21,1795061.4405724425
2013-08-22,2159303.498922497
2013-08-23,2320783.1967442892
2013-08-26,2325451.5915126186
2013-08-27,2314545.361134422
2013-08-28,2260722.608103102
2013-08-29,2219684.3600071315
2013-08-30,2173394.991258595
2013-09-03,2134352.357541904
2013-09-04,2270351.890081836
2013-09-05,2239617.3214794733
2013-09-06,2261173.008632602
2013-09-09,2440789.363791449
2013-09-10,2521492.2149216086
2013-09-11,2575788.625813773
2013-09-12,2570281.627587665
2013-09-13,2520813.672909463
2013-09-16,2542769.2112285215
2013-09-17,2647171.3604745083
2013-09-18,2670550.4140840806
2013-09-19,2604888.320712628
2013-09-20,2547842.34028008
2013-09-23,2666878.3037562426
2013-09-24,2719259.580706967
2013-09-25,2981172.402592836
2013-09-26,2886025.232745927
2013-09-27,2758961.3440481573
2013-09-30,1124672.382092081
2013-10-01,1097852.5988336504
2013-10-02,1502379.871656116
2013-10-03,1496155.5128478091
2013-10-04,1585293.4980297294
2013-10-07,1666412.771774428
2013-10-08,1642275.7981855888
2013-10-09,1525161.0543801524
2013-10-10,1457597.3048524242
2013-10-11,1254669.633995194
2013-10-14,1098870.244238237
2013-10-15,1077794.7987651452
2013-10-16,1079224.7385409977
2013-10-17,1222587.9836596306
2013-10-18,1186529.211251041
2013-10-21,1209914.225566836
2013-10-22,1227862.0115609728
2013-10-23,1254511.3784296084
2013-10-24,1234792.7204333134
2013-10-25,1206437.7322964706
2013-10-28,1166125.163655743
2013-10-29,1275439.8049075417
2013-10-30,1325724.1107126642
2013-10-31,1598654.7773651797
2013-11-01,1264238.3116804715
2013-11-04,1285652.1616282351
2013-11-05,1338554.6069973987
2013-11-06,1306240.455708513
2013-11-07,1251027.116879603
2013-11-08,1251394.1375930794
2013-11-11,1205092.7019668762
2013-11-12,963976.2850630172
2013-11-13,1055190.0969502367
2013-11-14,1112601.186066458
2013-11-15,948082.4845917597
2013-11-18,869689.2088256069
2013-11-19,921041.9607409537
2013-11-20,948417.4830242731
2013-11-21,877681.5683948286
2013-11-22,855855.8992938399
2013-11-25,761852.8252003882
2013-11-26,696980.654920591
2013-11-27,618582.4081986994
2013-11-29,100287.4216312822
2013-12-02,118953.91126680188
2013-12-03,250227.3718983382
2013-12-04,181922.726367658
2013-12-05,319146.66082388535
2013-12-06,660249.4131183028
2013-12-09,395351.9224604238
2013-12-10,428295.61543456465
2013-12-11,669865.4604716599
2013-12-12,665861.8671386205
2013-12-13,494269.5840696562
2013-12-16,487759.72781202383
2013-12-17,505641.6460761931
2013-12-18,148325.23309360817
2013-12-19,111038.36676159501
2013-12-20,165765.26843397506
2013-12-23,362257.1705492493
2013-12-24,176715.59468309954
2013-12-26,505377.32389442064
2013-12-27,525403.9582026824
2013-12-30,427769.1017375346
2013-12-31,-132499.14277487993
2014-01-02,-157970.96764391474
2014-01-03,-223113.42489655688
2014-01-06,-61159.68969031982
2014-01-07,-249428.17843655683
2014-01-08,-420198.66763594
2014-01-09,-546409.1222208645
2014-01-10,-478509.3263146337
2014-01-13,-607517.6382403634
2014-01-14,-474989.21735677496
2014-01-15,-415706.56357510015
2014-01-16,-496251.810649544
2014-01-17,-582545.4325800929
2014-01-21,-338781.8225997146
2014-01-22,-225241.9902561307
2014-01-23,-283254.62750846334
2014-01-24,-247459.16986842267
2014-01-27,-350325.8058063425
2014-01-28,-439922.46214069054
2014-01-29,-445203.52181463875
2014-01-30,-678690.9816613514
2014-01-31,-728471.4823035104
2014-02-03,-727277.8478053501
2014-02-04,-582202.1910332367
2014-02-05,-604255.4019366866
2014-02-06,-612079.5399028407
2014-02-07,-596302.3632343151
2014-02-10,-790138.721471048
2014-02-11,-527719.381322166
2014-02-12,-573785.9538058406
2014-02-13,-561556.9484808072
2014-02-14,-704075.6777842101
2014-02-18,-639915.8531368263
2014-02-19,-630545.7653681412
2014-02-20,-763343.524374079
2014-02-21,-722307.4705583341
2014-02-24,-791221.2956701759
2014-02-25,-396314.84976167604
2014-02-26,-498948.9447316192
2014-02-27,-423266.55285891145
2014-02-28,-86167.91443570517
2014-03-03,-26188.456927528605
2014-03-04,-125213.5667310413
2014-03-05,-335467.0159671586
2014-03-06,-247284.70075369254
2014-03-07,-198160.9522005096
2014-03-10,-281773.45673152804
2014-03-11,-242542.42739657126
2014-03-12,-339271.45180414245
2014-03-13,-466668.47489612363
2014-03-14,-450882.76710950024
2014-03-17,-496870.0500581004
2014-03-18,-407719.64260586165
2014-03-19,-370020.62738406844
2014-03-20,-274931.99086314626
2014-03-21,293671.28092225455
