date,ticker,price,entry_price
2013-12-12,WMIH,24.72,10.22020574666711
2013-12-16,SHOR,8.37,4.289999961853027
2013-12-16,INVS,246.0,121.05918669727261
2013-12-17,CBB,86.75,26.79974278077455
2013-12-23,MPX,5.8917,2.8941898096418037
2013-12-26,BKMU,6.485,3.205399990081787
2014-01-02,REIS,16.5842,8.423600196838379
2014-01-08,OMED,31.63,15.5115421911264
2014-01-08,FRP,12.56,6.150000095367432
2014-01-08,CRAY,32.0,14.220000267028809
2014-01-09,TTPH,320.0,141.9391770221449
2014-01-09,EGL,29.793,14.588237707028862
2014-01-10,HILL,4.25,1.9642038905721895
2014-01-10,XLRN,47.15,22.64175155518
2014-01-13,PMC,24.35,12.770000457763672
2014-01-14,TSGL,1000.0,500.0
2014-01-15,SNMX,7.04,3.2100000381469727
2014-01-15,CCMP,43.9351,21.397499084472656
2014-01-22,RCPT,43.05,20.350730328028128
2014-01-23,VG_old,4.42,2.0500548968695527
2014-01-23,OKSB,17.3919,8.728463842866145
2014-01-27,RGRXD,18.62,8.0
2014-01-27,TMBXD,8.6,5.0
2014-01-31,QUESD,272.0,82.64311403256495
2014-02-04,INLBD,220.0,80.0
2014-02-12,FLUXD,15.0,5.059315819433369
2014-02-12,KYTH,48.33,24.63476122662376
2014-02-13,IDTI,11.75,5.815092175454602
2014-02-14,GTTNQ,12.49,5.481856573877551
2014-02-14,CYBX,71.72,35.7854234144788
2014-02-14,GTTN,12.49,5.481856573877551
2014-02-14,GTT,12.49,5.481856573877551
2014-02-24,STVVY,3.46,1.747292117308943
2014-02-24,STV,3.46,1.747292117308943
2014-02-24,EQUR,0.97,0.6299999952316284
2014-02-27,PMCBD,0.51,0.18440000712871552
2014-02-28,AERI,22.97,11.511307969510055
2014-03-03,BIOA_old,14.54,7.213515171428806
2014-03-03,BIOAQ,14.54,7.213515171428806
2014-03-04,DALN,13.7695,6.059899806976318
2014-03-12,ARDM,544.0,296.22856358119424
2014-03-12,TRTC,21.0,8.01404619648623
2014-03-17,VYSTD,16.5,5.5
2014-03-17,RCAP,31.8905,15.359220157211613
2014-03-21,DAVE_old,31.25,15.59000015258789
2014-03-21,BBQ,31.25,15.59000015258789
2014-03-27,MITL,10.77,5.317103949761053
2014-04-01,IVAC,9.6081,4.657899856567383
2014-04-03,DHIL,80.5687,40.82350158691406
2014-04-04,EQUR,1.0,0.6100000143051147
2014-04-29,PTSI,6.1825,3.017381407571847
2014-05-06,EMES_old,75.7284,34.4213981628418
2014-05-07,EMESZ,82.74,39.939998626708984
2014-05-16,CXDC,8.5,4.179999828338623
2014-06-16,FCCND,4.099,2.0999999046325684
2014-07-22,DIGP,50.0,30.0
2014-07-25,OMNT,350.0,200.0
2014-08-01,CHMD,0.027,0.010099999606609351
2014-08-04,IBCA_old,9.39,4.653108423950676
2014-08-19,CHGT,2.65,1.2533826469441525
2014-08-22,WIZDD,332.0,160.0
2014-08-22,WIZD,332.0,160.0
2014-08-25,ELRN,3.0,2.0999999046325684
2014-10-16,PENX,18.64,8.212290263589013
2014-10-20,ESI1,12.68,4.322485016881882
2014-10-29,FFNW,8.79,4.374122851797224
2014-10-30,TAXA,33.0305,16.342075859932844
2014-10-30,FRG,25.8229,12.776116606071977
2014-10-31,AMWD,40.91,20.209299087524414
2014-11-03,ABMD,32.52,16.3801619333942
2014-11-03,VDSI,25.48,12.523018387861764
2014-11-25,DENN,9.66,4.599999904632568
2014-11-26,ABAX,55.2378,27.022432497992597
2014-11-28,TSRA,34.18,17.18304681871382
2014-12-10,BLUE,1070.8414,329.23959248403605
2015-01-05,ADVM,589.45,279.8999938964844
2015-01-14,ANCX,15.509,7.913888153955
2015-01-26,VYSTD,10.0,5.0
2015-02-05,OHGID,1387.5,756.25
2015-02-17,ASPX,68.89,31.576877638598553
2015-02-17,MTL,3.1,1.3853412225618555
2015-02-24,PFNX,13.47,6.484344441712582
2015-03-03,PSEM,15.9,8.180000305175781
2015-03-05,OREXQ,80.1,41.240028852668665
2015-03-05,OREX,80.1,41.240028852668665
2015-03-23,FDP,30.958,15.436881110175575
2015-03-31,FFG,46.3398,22.618799209594727
2015-04-02,SCLN,8.97,4.580008308856952
2015-04-16,SAGE,61.31,29.156737916442065
2015-04-24,SQNM,4.52,2.279571447751792
2015-04-28,DTSI,37.2374,18.53167798500214
2015-05-01,JBT,36.9216,17.458099365234375
2015-05-04,IMPM,28.5,12.70093013746632
2015-05-04,IMH,28.5,12.700541935769406
2015-05-04,ELLI,64.65,31.1299991607666
2015-05-13,EBIX,30.8377,14.878006066238383
2015-05-13,EBIXQ,30.8374,14.877804726430508
2015-05-14,NVRO,53.65,26.989999771118164
2015-05-15,AMCN,101.6,51.20000076293945
2015-05-15,ANTE,101.6,51.20000076293945
2015-05-19,EGIOQ,172.4,85.08604315069283
2015-05-19,EGIO,172.4,85.08604315069283
2015-05-19,LLNW,172.4,85.08604315069283
2015-05-21,ATSG,10.78,5.4366180768334
2015-05-21,ALDR,38.8,20.06999969482422
2015-05-21,CORI,12.89,6.104128994383578
2015-05-26,ZSPH,58.9,28.75
2015-06-09,BRLI_old,40.01,20.100891148627497
2015-06-11,SIGM,11.17,4.912303507348492
2015-06-15,APEX,795.9,385.09039306640625
2015-06-15,CHKE,795.9,385.09039306640625
2015-06-15,VBHI,220.0,97.00000000000004
2015-06-15,KIRK,25.62,13.175836333672903
2015-06-16,FFKT,29.6347,14.729700088500977
2015-07-17,OPHT,69.93,30.345976321437373
2015-07-17,ISEE,69.93,30.345976321437373
2015-07-28,OCEL,77.7778,33.33330154418945
2015-07-28,BSTC,66.69,31.665340684734478
2015-07-29,HSHS,6.1,0.8500000238418579
2015-08-05,WAYSD,20.0,10.0
2015-08-18,CEADD,32.9983,14.225446752377827
2015-08-28,ABCD,5.28,2.536055983222469
2015-09-02,REBL,1.51,0.5099999904632568
2015-09-29,MDTR,38.0,12.18255377013415
2015-10-02,MSG,171.5,48.093299865722656
2015-10-07,WAYSD,19.8,18.649999618530273
2015-10-29,OCLR,2.99,1.451421697350313
2015-11-02,MJMI,2.15,0.9300000071525574
2015-11-06,CSGS,29.7825,14.410671050765332
2015-12-03,SYKE,31.57,15.916132042367124
2015-12-28,YECO_old,21.75,10.75
2015-12-30,PBY1,18.39,9.205802604618981
2015-12-30,MNRK,17.9963,8.930938572559825
2016-01-06,SMPRD,2.0,1.0000000000000002
2016-01-07,VYSTD,10.0,5.0
2016-02-23,CNBXD,10.8,5.294806709205563
2016-04-13,NEUL,0.99,0.5
2016-04-14,PLPM,3.81,1.899999976158142
2016-04-25,HPR,424.3476,199.86896142693396
2016-04-25,BBG,8.49,3.9988160703827957
2016-04-28,AMED,52.14,26.42239115477366
2016-05-02,ZEUS,22.2077,10.047300338745117
2016-05-09,MFSF,25.6088,12.564810972264798
2016-05-12,CVOVQ,6.8,3.068543163062841
2016-05-24,AVXS,42.81,19.690302378453865
2016-06-06,USMD_old,22.07,10.75
2016-06-07,RYI,13.5758,6.765699863433838
2016-06-15,MCF,13.23,6.531415886927077
2016-06-20,RDEN,13.89,6.199999809265137
2016-06-21,AIOM,1.4,0.699999988079071
2016-07-21,XOXO,17.96,9.294221064411422
2016-07-27,SPAR,8.0347,3.777979244089576
2016-07-27,SHYF,7.6606,3.60200779105824
2016-07-28,LOGM,81.3912,37.06385936201418
2016-08-01,VVI,34.5448,16.048200607299805
2016-08-09,MFRM,63.76,29.927958426940865
2016-08-15,REN,17.42,7.033605402087928
2016-08-24,PCMI,19.22,9.59000015258789
2016-08-26,NNMXD,29.41,12.109999656677246
2016-08-29,BCOV,12.63,6.050000190734863
2016-09-06,XTLY,14.59,7.300000190734863
2016-09-06,RIVU,0.4,0.20000000298023224
2016-09-06,JMDA,14.0,5.0000000000000036
2016-09-22,ARIA,13.63,6.564079041006245
2016-09-27,CLSD,249.75,105.76215632617877
2016-10-04,VYSTD,14.0,6.699999809265137
2016-10-10,APYPD,0.7,0.4000000059604645
2016-10-18,CNBXD,21.6,6.0
2016-10-19,CARO,22.3203,11.200200080871582
2016-10-20,MIME,20.49,9.901648402806115
2016-11-14,EGOV,22.2087,10.907628722285942
2016-11-14,HTBK,7.6995,3.8584121964631177
2016-11-14,EMCI,26.1164,13.051600456237793
2016-11-25,CARB,19.55,9.764487551989939
2016-11-30,PGNX,8.95,4.4787482566788075
2016-12-01,KMG,33.2752,16.71836777077539
2016-12-16,RTEC,22.05,11.06070476622709
2017-01-11,CUTRQ,18.95,9.089406936904359
2017-01-11,CUTR,18.95,9.088853224758815
2017-01-18,HLWD,52.8,32.5
2017-01-18,MDTR,91.0,35.2031177575791
2017-01-19,CYBE,39.05,17.549999237060547
2017-01-25,CAI_old,15.5218,7.249907622467477
2017-02-03,INNTW,0.39,0.21269999444484716
2017-02-08,HNGR,14.2,6.56282419905699
2017-02-09,ATLXD,28.5,9.598533576603199
2017-02-13,IVAC,10.5728,4.778722821753111
2017-02-16,TGH,16.0334,6.911368998524761
2017-02-17,SHLO,14.69,7.3219238175152945
2017-02-22,BANM,6859.209,2978.33544921875
2017-02-22,SASR,32.0823,16.037900924682617
2017-02-22,FRTM,72.2022,31.350900650024414
2017-02-28,VBHI,47.0,25.0
2017-03-08,ACMBD,70.0,25.0
2017-03-09,GV_old,8.3,4.150000095367432
2017-03-09,PTSCD,8.45,4.225152886441663
2017-03-24,NMPRH,14.15,7.0604025796683185
2017-03-31,ROX,1.55,0.7445002637028254
2017-03-31,NMPRG,15.79,7.841447152452273
2017-04-27,IRBTQ,79.89,35.0099983215332
2017-04-27,IRBT,79.89,35.00600051879883
2017-05-01,TVTY,32.45,15.180000305175781
2017-05-10,EMKR,106.5,52.847773468652456
2017-05-11,CSII,31.91,16.0
2017-05-16,RARX,26.14,13.159414813037236
2017-05-19,TMBXD,2.6,1.0000000000000002
2017-05-23,LLPP,8.98,4.099999904632568
2017-06-09,FMI,42.0,20.549999237060547
2017-07-25,RETC,249.0,118.15376025029741
2017-07-25,TOGL,0.41,0.4029179749548156
2017-08-28,ULNV,4.0,2.450000047683716
2017-09-08,SIENQ,128.8,59.20000076293945
2017-09-12,STVA,0.65,0.2828356099435366
2017-09-12,ERN,3.95,1.807370695123088
2017-09-14,TRHC,23.26,11.667775952038783
2017-09-15,ASNT,5.33,4.5
2017-09-19,SNHY,50.3813,24.805400848388672
2017-09-28,UCFC,9.1739,4.552999973297119
2017-09-29,ALTA,29.9739,15.17300033569336
2017-09-29,PUB,30.9407,15.662400245666504
2017-10-02,OMN,11.2,5.25
2017-10-02,SGH,14.035,6.550000190734863
